5, 6, CHRV3A, CHILES RAJAS VITROLERO 3.8KG, 69, 1
14, 2059, CRBT, CREMA BATIR TOP CREAM 2KG, 122, 2
14, 2059, MAE90, MANTEQUILLA EUGENIA 90GR BARRITA, 14.5, 6
14, 2059, QUPN400, QUESO PANELA NAVARRO 400GR, 61, 1
14, 2059, SAV3, SALCHICHA VIVA 3KG, 115, 1
14, 2059, CAIC, CAJETA IMPERIAL 1/4 300GR, 15, 4
14, 2059, LEC, LECHERA IMPERIAL 1/4 300GR, 17.5, 4
9, 1156, QUOSC, QUESO OAXACA IMPERIAL ORO 1KG 122, 122, 0.98
9, 1156, QUAFE, QUESO AMARILLO FRANJA 1.80KG EXHIBIDOR, 91, 1
9, 1156, MERG, CATSUP MEGARIKA GALON, 97, 1
17, 2939, CA5, CAJETA IMPERIAL 5KG CUBETA CHICA, 215, 1
17, 2939, CRCCHORRO, CREMA IMPERIAL              , 44, 2
19, 3347, SABAC, SALSA BBQ ABAL 4KG (4PZ), 668, 4
16, 2736, ADFM, ADOBERA FUNDIR IMPERIAL 1/2KG 93, 46.5, 6
16, 2736, ADMO1, ADOBERA MESA IMPERIAL ORO 1KG 105, 105, 4.08
16, 2736, ASUPER, SALCHICHA SAN ANTONIO 3KG, 113, 1
16, 2736, YAT, YAKULT TIRA (30PZ) COMPLETA, 198, 1
16, 2736, CRIO, CREMA IMPERIAL ORO, 59, 2
16, 2736, JAR, JAMON AMERICANO RIOJA (PRO), 71, 4
13, 1786, QUCC2, QUESO CREMA IMPERIAL 2.2KG, 112, 2
7, 443, ADFSK, ADOBERA FUNDIR SANDRITA 165, 165, 1.035
7, 443, CHN, CHULETA NAYAR 91, 91, 1.915
7, 443, EXMD90C, EXHIBIDOR DELICIA 90G (12PZ) EXHIBIDOR, 79, 2
7, 443, MABI, MAIZ POZOLERO BLANCO IMPERIAL, 24, 5
7, 443, SAPR2, SALCHICHA PAVO ROS 2.5KG, 117, 1
7, 443, ASUPER, SALCHICHA SAN ANTONIO 3KG, 113, 1
7, 443, CRCCHORRO, CREMA IMPERIAL              , 44, 2
7, 443, JPA, JAMON PIERNA ANDALUCIA, 89, 3
10, 1321, ADM1, ADOBERA MESA IMPERIAL 1KG 77, 77, 5.175
10, 1321, REIO, REQUESON IMPERIAL ORO 47, 47, 1
12, 1622, MAEA1, MANTEQUILLA EUGENIA AZUL 1KG PIEZA, 150, 1
12, 1622, MOM3, MOSTAZA MEGA 3.7KG, 103, 1
12, 1622, JPA, JAMON PIERNA ANDALUCIA, 89, 1
8, 710, QUFSMDM, ADOBERA SAN MIGUEL DORADA 1/2KG 134, 67, 6
13, 1915, ADMO2, ADOBERA MESA ORO 2KG (PRO)105, 210, 0.53
13, 1915, QUFSMDM, ADOBERA SAN MIGUEL DORADA 1/2KG 134, 67, 2
13, 1915, CHZ, CHORIZO LA CASA (PRO), 72, 1
13, 1915, CRCCHORRO, CREMA IMPERIAL              , 44, 2
